DISTRICT_CODE,SCHOOL_CODE,2006-07,County,DistrictName,SchoolName,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
0007,0040,197.0,Clark,Abbotsford,Abbotsford Middle/Senior High,208.0,206.0,205.0,205.0,205.0,205.0,181.0,204.0,196.0,193.0
0014,0040,634.0,Adams,Adams-Friendship Area,Adams-Friendship High,616.0,607.0,559.0,564.0,531.0,500.0,515.0,483.0,489.0,489.0
0063,0040,148.0,Green,Albany,Albany High,138.0,120.0,122.0,108.0,103.0,107.0,99.0,114.0,109.0,105.0
0070,0040,230.0,Kewaunee,Algoma,Algoma High,217.0,227.0,213.0,215.0,209.0,207.0,230.0,245.0,250.0,254.0
0084,0040,116.0,Buffalo,Alma,Alma High,112.0,104.0,105.0,91.0,84.0,87.0,73.0,69.0,77.0,67.0
0091,0060,191.0,Jackson,Alma Center,Lincoln High,186.0,187.0,177.0,182.0,174.0,194.0,196.0,207.0,194.0,171.0
0105,0040,154.0,Portage,Almond-Bancroft,Almond High,141.0,145.0,138.0,125.0,135.0,131.0,111.0,120.0,123.0,121.0
0112,0040,446.0,Eau Claire,Altoona,Altoona High,465.0,462.0,449.0,480.0,464.0,455.0,445.0,427.0,428.0,419.0
0119,0040,606.0,Polk,Amery,Amery High,562.0,531.0,553.0,539.0,524.0,528.0,492.0,447.0,465.0,461.0
0126,0060,253.0,Portage,Tomorrow River,Amherst High,272.0,282.0,291.0,283.0,280.0,281.0,275.0,303.0,331.0,326.0
0126,0850,,Portage,Tomorrow River,Central Wisconsin Virtual School,,,,,,,,1.0,,
0140,0070,1043.0,Langlade,Antigo,Antigo High,1022.0,988.0,968.0,920.0,872.0,837.0,808.0,803.0,794.0,809.0
0140,9100,,Langlade,Antigo Unified,Rural Virtual Academy,,,,,,,,1.0,2.0,6.0
0147,0020,1518.0,Outagamie,Appleton Area,East High,1537.0,1529.0,1507.0,1428.0,1359.0,1295.0,1312.0,1383.0,1347.0,1370.0
