DistrictCode,SchoolCode,2006-07,DistrictName,SchoolName,County,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
0007,0040,197.0,Abbotsford,Abbotsford Middle/Senior High,Clark,208.0,206.0,205.0,205.0,205.0,205.0,181.0,204.0,196.0,193.0
0014,0040,634.0,Adams-Friendship Area,Adams-Friendship High,Adams,616.0,607.0,559.0,564.0,531.0,500.0,515.0,483.0,489.0,489.0
0063,0040,148.0,Albany,Albany High,Green,138.0,120.0,122.0,108.0,103.0,107.0,99.0,114.0,109.0,105.0
0070,0040,230.0,Algoma,Algoma High,Kewaunee,217.0,227.0,213.0,215.0,209.0,207.0,230.0,245.0,250.0,254.0
0084,0040,116.0,Alma,Alma High,Buffalo,112.0,104.0,105.0,91.0,84.0,87.0,73.0,69.0,77.0,67.0
0091,0060,191.0,Alma Center,Lincoln High,Jackson,186.0,187.0,177.0,182.0,174.0,194.0,196.0,207.0,194.0,171.0
0105,0040,154.0,Almond-Bancroft,Almond High,Portage,141.0,145.0,138.0,125.0,135.0,131.0,111.0,120.0,123.0,121.0
0112,0040,446.0,Altoona,Altoona High,Eau Claire,465.0,462.0,449.0,480.0,464.0,455.0,445.0,427.0,428.0,419.0
0119,0040,606.0,Amery,Amery High,Polk,562.0,531.0,553.0,539.0,524.0,528.0,492.0,447.0,465.0,461.0
0126,0060,253.0,Tomorrow River,Amherst High,Portage,272.0,282.0,291.0,283.0,280.0,281.0,275.0,303.0,331.0,326.0
0140,0070,1043.0,Antigo,Antigo High,Langlade,1022.0,988.0,968.0,,,,,,,
0147,0020,1518.0,Appleton Area,East High,Outagamie,1537.0,1529.0,1507.0,1428.0,1359.0,1295.0,1312.0,1383.0,1347.0,1370.0
0147,0030,1721.0,Appleton Area,North High,Outagamie,1617.0,1554.0,1497.0,1517.0,1438.0,1478.0,1485.0,1531.0,1599.0,1636.0
0147,0040,1462.0,Appleton Area,West High,Outagamie,1435.0,1419.0,1292.0,1275.0,1191.0,1147.0,1105.0,1096.0,1067.0,1082.0
0147,0400,99.0,Appleton Area,Appleton Central Alternative School,Outagamie,,,,,,,,,,
0147,0420,163.0,Appleton Area,Renaissance Sch,Outagamie,162.0,,,,,,,,,
0147,0430,75.0,Appleton Area,Tesla Engineering Charter School,Outagamie,78.0,78.0,86.0,108.0,89.0,92.0,114.0,117.0,130.0,125.0
0147,0440,13.0,Appleton Area,Appleton eSchool,Outagamie,12.0,26.0,24.0,32.0,22.0,25.0,27.0,26.0,13.0,15.0
0147,0460,56.0,Appleton Area,Valley New School,Outagamie,52.0,54.0,45.0,45.0,42.0,48.0,52.0,52.0,48.0,46.0
0147,0480,8.0,Appleton Area,Dan Spalding Academy,Outagamie,,,,,,,,,,
0154,0040,309.0,Arcadia,Arcadia High,Trempealeau,312.0,324.0,330.0,342.0,340.0,347.0,332.0,329.0,349.0,356.0
0161,0040,118.0,Argyle,Argyle High,Lafayette,118.0,116.0,107.0,95.0,95.0,98.0,95.0,101.0,98.0,96.0
0161,9412,1.0,Argyle,Lafayette County Community Charter School,Lafayette,,,,,,,,,,
0170,0020,771.0,Ashland,Ashland High,Ashland,754.0,752.0,747.0,719.0,727.0,715.0,722.0,703.0,630.0,635.0
0182,0020,1087.0,Ashwaubenon,Ashwaubenon High,Brown,1102.0,1070.0,1048.0,1013.0,1017.0,1032.0,1069.0,1062.0,1053.0,1042.0
0182,9204,1.0,Ashwaubenon,Northeast WI Online Charter Sch (NEWOCS),Brown,,,,,,,,,,
0196,0040,196.0,Athens,Athens High,Marathon,194.0,194.0,205.0,214.0,216.0,210.0,202.0,197.0,191.0,183.0
0203,0060,289.0,Auburndale,Auburndale High,Wood,294.0,291.0,267.0,274.0,256.0,247.0,253.0,242.0,237.0,241.0
0217,0040,190.0,Augusta,Augusta High,Eau Claire,204.0,192.0,184.0,180.0,167.0,160.0,162.0,147.0,144.0,150.0
0217,0410,20.0,Augusta,Wildlands Charter School,Eau Claire,17.0,22.0,24.0,23.0,37.0,36.0,40.0,43.0,41.0,44.0
0231,0040,453.0,Baldwin-Woodville Area,Baldwin-Woodville High,Saint Croix,451.0,477.0,465.0,482.0,461.0,434.0,470.0,460.0,476.0,466.0
0238,0100,364.0,Unity,Unity High,Polk,371.0,361.0,360.0,359.0,309.0,292.0,271.0,267.0,269.0,260.0
0245,0040,227.0,Bangor,Bangor Middle/High,La Crosse,230.0,230.0,230.0,216.0,201.0,172.0,161.0,169.0,180.0,180.0
0280,0040,1014.0,Baraboo,Baraboo High,Sauk,1013.0,1022.0,1022.0,1036.0,1020.0,985.0,958.0,979.0,992.0,964.0
0287,0040,121.0,Barneveld,Barneveld High,Iowa,124.0,131.0,119.0,122.0,111.0,113.0,118.0,125.0,117.0,124.0
0308,0030,459.0,Barron Area,Barron High,Barron,462.0,441.0,418.0,387.0,383.0,365.0,373.0,365.0,365.0,365.0
0308,9410,9.0,Barron Area,Barron County Learning Center,Barron,,,,,,,,,,
0315,0040,137.0,Bayfield,Bayfield High,Bayfield,143.0,136.0,141.0,140.0,122.0,127.0,122.0,129.0,125.0,123.0
0336,0020,2.0,Beaver Dam,Beaver Dam Middle,Dodge,,,,,,,,,,
0336,0040,1089.0,Beaver Dam,Beaver Dam High,Dodge,1073.0,1072.0,1023.0,,,,,,,
0336,0200,81.0,Beaver Dam,Beaver Dam Charter Sch,Dodge,84.0,,,,,,,,,
0350,0040,309.0,Belleville,Belleville High,Dane,310.0,308.0,283.0,277.0,261.0,260.0,251.0,262.0,270.0,260.0
0364,0040,131.0,Belmont Community,Belmont High,Lafayette,116.0,106.0,90.0,85.0,81.0,71.0,91.0,82.0,94.0,103.0
0413,0200,2162.0,Beloit,Memorial High,Rock,2080.0,1918.0,1889.0,1758.0,1804.0,1873.0,1763.0,1773.0,1790.0,1749.0
0422,0020,381.0,Beloit Turner,Turner High,Rock,390.0,391.0,415.0,412.0,427.0,440.0,456.0,457.0,464.0,462.0
0427,0040,83.0,Benton,Benton High,Lafayette,86.0,83.0,73.0,72.0,60.0,69.0,85.0,96.0,90.0,90.0
0434,0040,616.0,Berlin Area,Berlin High,Green Lake,640.0,610.0,604.0,554.0,555.0,536.0,543.0,543.0,567.0,560.0
0441,0040,98.0,Birchwood,Birchwood High,Washburn,118.0,109.0,90.0,97.0,86.0,84.0,73.0,69.0,76.0,65.0
0469,0060,366.0,Wisconsin Heights,Wisconsin Heights High,Dane,339.0,328.0,295.0,269.0,241.0,225.0,217.0,206.0,224.0,229.0
0476,0040,627.0,Black River Falls,Black River Falls High,Jackson,558.0,574.0,545.0,508.0,511.0,504.0,518.0,519.0,516.0,505.0
0485,0011,218.0,Blair-Taylor,Blair-Taylor Middle/High,Trempealeau,210.0,214.0,224.0,216.0,195.0,195.0,176.0,172.0,172.0,163.0
0490,0040,156.0,Pecatonica Area,Pecatonica High,Lafayette,147.0,139.0,134.0,119.0,108.0,108.0,110.0,122.0,139.0,128.0
0497,0040,383.0,Bloomer,Bloomer High,Chippewa,397.0,381.0,373.0,361.0,356.0,350.0,351.0,358.0,379.0,379.0
0602,0040,343.0,Bonduel,Bonduel High,Shawano,337.0,325.0,295.0,287.0,312.0,301.0,306.0,326.0,304.0,303.0
0609,0040,299.0,Boscobel Area,Boscobel High,Grant,297.0,305.0,297.0,292.0,283.0,241.0,239.0,233.0,244.0,241.0
0623,0040,141.0,Bowler,Bowler High,Shawano,123.0,123.0,116.0,102.0,104.0,104.0,97.0,98.0,100.0,87.0
0637,0040,276.0,Boyceville Community,Boyceville Middle/High,Dunn,261.0,242.0,237.0,222.0,221.0,211.0,,,,
0658,0040,331.0,Brillion,Brillion High,Calumet,340.0,367.0,350.0,341.0,332.0,319.0,319.0,303.0,320.0,321.0
0700,0040,440.0,Brodhead,Brodhead High,Green,420.0,402.0,384.0,352.0,345.0,321.0,328.0,325.0,317.0,333.0
0714,0020,1414.0,Elmbrook,Central High,Waukesha,1376.0,1349.0,1313.0,1328.0,1290.0,1313.0,1308.0,1324.0,1327.0,1268.0
0714,0060,1392.0,Elmbrook,East High,Waukesha,1366.0,1332.0,1326.0,1292.0,1304.0,1315.0,1259.0,1285.0,1246.0,1213.0
0714,0160,15.0,Elmbrook,Fairview South,Waukesha,12.0,12.0,14.0,13.0,14.0,15.0,14.0,12.0,9.0,
0721,0040,716.0,Brown Deer,Brown Deer High,Milwaukee,680.0,663.0,666.0,653.0,588.0,562.0,,,,
0735,0040,208.0,Bruce,Bruce High,Rusk,193.0,176.0,177.0,169.0,173.0,164.0,172.0,158.0,151.0,136.0
0777,0020,1390.0,Burlington Area,Burlington High,Racine,1467.0,1413.0,1389.0,1348.0,1249.0,1201.0,1217.0,1182.0,1145.0,1128.0
0840,0040,66.0,Butternut,Butternut High,Ashland,58.0,53.0,60.0,49.0,52.0,48.0,54.0,55.0,63.0,55.0
0870,0040,292.0,Cadott Community,Cadott High,Chippewa,273.0,268.0,269.0,267.0,251.0,243.0,235.0,256.0,263.0,242.0
0882,0040,134.0,Cambria-Friesland,Cambria Friesland Middle/High,Columbia,146.0,147.0,126.0,128.0,115.0,116.0,113.0,105.0,111.0,116.0
0896,0040,336.0,Cambridge,Cambridge High,Dane,307.0,290.0,276.0,270.0,294.0,278.0,274.0,262.0,252.0,253.0
0903,0040,264.0,Cameron,Cameron High,Barron,244.0,272.0,291.0,269.0,265.0,241.0,269.0,255.0,257.0,255.0
0910,0040,521.0,Campbellsport,Campbellsport High,Fond du Lac,527.0,517.0,497.0,497.0,499.0,470.0,454.0,419.0,425.0,426.0
0980,0040,169.0,Cashton,Cashton High,Monroe,154.0,176.0,175.0,184.0,178.0,175.0,163.0,155.0,147.0,
0994,0040,128.0,Cassville,Cassville High,Grant,125.0,121.0,112.0,100.0,89.0,86.0,77.0,78.0,75.0,67.0
1015,0020,1168.0,Cedarburg,Cedarburg High,Ozaukee,1126.0,1117.0,1115.0,1067.0,1105.0,1150.0,1141.0,1162.0,1132.0,1126.0
1029,0040,304.0,Cedar Grove-Belgium Area,Cedar Grove High,Sheboygan,281.0,307.0,322.0,,,,,,,
1078,0040,343.0,Chetek,Chetek High,Barron,324.0,300.0,276.0,,,,,,,
1085,0040,455.0,Chilton,Chilton High,Calumet,431.0,424.0,434.0,399.0,362.0,378.0,352.0,367.0,375.0,387.0
1092,0060,1588.0,Chippewa Falls Area,Chippewa Falls High,Chippewa,1598.0,1571.0,1528.0,,,,,,,
1120,0040,121.0,Clayton,Clayton High,Polk,139.0,132.0,124.0,122.0,109.0,113.0,115.0,126.0,130.0,110.0
1127,0040,213.0,Clear Lake,Clear Lake High,Polk,228.0,215.0,215.0,204.0,184.0,163.0,153.0,166.0,179.0,189.0
1134,0060,396.0,Clinton Community,Clinton High,Rock,383.0,409.0,404.0,404.0,388.0,382.0,378.0,377.0,382.0,365.0
1141,0040,618.0,Clintonville,Clintonville High,Waupaca,608.0,579.0,524.0,476.0,441.0,467.0,450.0,479.0,522.0,507.0
1155,0040,203.0,Cochrane-Fountain City,Cochrane-Fountain City High,Buffalo,197.0,175.0,183.0,182.0,184.0,188.0,201.0,208.0,213.0,222.0
1162,0040,374.0,Colby,Colby High,Clark,341.0,316.0,294.0,290.0,282.0,285.0,283.0,288.0,286.0,289.0
1169,0060,255.0,Coleman,Coleman High,Marinette,234.0,235.0,219.0,216.0,230.0,218.0,213.0,197.0,198.0,220.0
1169,9414,6.0,Coleman,LEARN Charter,Marinette,5.0,,,,,,,,,
1176,0040,249.0,Colfax,Colfax High,Dunn,241.0,254.0,245.0,242.0,232.0,255.0,245.0,243.0,259.0,267.0
1176,0400,13.0,Colfax,Academic Center,Dunn,14.0,,,,,,,,,
1183,0040,434.0,Columbus,Columbus High,Columbia,442.0,422.0,395.0,386.0,366.0,379.0,381.0,397.0,394.0,381.0
1204,0040,174.0,Cornell,Cornell High,Chippewa,172.0,160.0,158.0,139.0,133.0,125.0,128.0,115.0,104.0,110.0
1218,0060,256.0,Crandon,Crandon High,Forest,259.0,260.0,250.0,220.0,235.0,228.0,227.0,241.0,229.0,239.0
1218,0800,32.0,Crandon,Crandon Alternative Resource Sch (CARS),Forest,35.0,,,,,,,,,
1232,0040,274.0,Crivitz,Crivitz High,Marinette,266.0,248.0,245.0,233.0,219.0,215.0,215.0,202.0,197.0,205.0
1246,0040,273.0,Cuba City,Cuba City High,Grant,265.0,274.0,286.0,272.0,253.0,246.0,234.0,247.0,244.0,241.0
1253,0040,908.0,Cudahy,Cudahy High,Milwaukee,867.0,853.0,841.0,808.0,758.0,742.0,755.0,730.0,728.0,713.0
1260,0060,395.0,Cumberland,Cumberland High,Barron,398.0,387.0,374.0,341.0,340.0,311.0,279.0,276.0,268.0,271.0
1260,9410,2.0,Cumberland,Barron County Learning Center,Barron,,,,,,,,,,
1295,0040,280.0,Darlington Community,Darlington High,Lafayette,282.0,294.0,274.0,265.0,247.0,231.0,226.0,210.0,217.0,219.0
1309,0040,238.0,Deerfield Community,Deerfield High,Dane,237.0,242.0,238.0,252.0,246.0,234.0,243.0,218.0,211.0,186.0
1309,0080,7.0,Deerfield Community,Deerfield Charter High,Dane,9.0,,,,,,,,,
